Movie,Scene,Character,Dialogue
AMERICAN_PSYCHO,INT. TAXI - EVENING,EVELYN,"marzipan. pink tents. hundreds, thousands of roses. photographers. annie leibovitz. we'll get annie liebovitz. and we'll hire someone to videotape. patrick, we should do it. do....what. get married. have a wedding. evelyn?"
AMERICAN_PSYCHO,INT. TAXI - EVENING,BATEMAN,"yes, darling? is your evian spiked? we should do it. no i can't take the time off work. your father practically owns the company. you can do anything you like, silly. i don't want to talk about it. well you hate that job anyway. why don't you just quit? you don't have to work. because i...want...to... fit...in."
AMERICAN_PSYCHO,INT. ESPACE RESTAURANT - NIGHT,BATEMAN,"im on the verge of tears by the time we arrive at espace since i'm positive we won't have a decent table, but we do, and relief washes over me in an awesome wave. tim price and two downtown types, stash and vanden are already seated. vanden is about twenty, pretty and sullen, with green streaks in her black hair. stash is pale, with, ragged black hair and bad skin. they are all trying to read large stainless steel menus that look like minimalist art. the menu's in braille. he gets up to greet them, giving evelyn a suspiciously long kiss. i have to talk to you. he drags her away, half giggling and protesting. pat, this my cousin vanden and her boyfriend stash. he's an artist. hi. pat bateman. vanden takes his hand reluctantly, says nothing. let me guess you live in the east village?"
AMERICAN_PSYCHO,INT. ESPACE RESTAURANT - NIGHT,CARRUTHERS,"stop it! stash and vanden watch them in silence. price is whispering in evelyn's ear. everyone else is quietly eating, except bateman, who is drinking and watching evelyn and price. i am fairly sure that timothy and evelyn are having an affair. timothy is the only interesting person i know. courtney is almost perfect looking. she's usually operating on one or more psychiatric drugs. tonight i believe it's xanax. more disturbing than her drug use, though, is the fact that she's engaged to luis carruthers, the biggest dufus in the business. courtney rouses herself from her drug haze. tell me, stash...do you think soho is becoming too...commercial? yes, i read that."
AMERICAN_PSYCHO,INT. ESPACE RESTAURANT - NIGHT,BATEMAN,"oh, who gives a rat's ass? hey. that affects us. oh ho ho. that affects us? what about the massacres in sri lanka, honey? doesn't that affect us, too? i mean don't you know anything about sri lanka? about how the sikhs are killing like tons of israelis there? doesn't that affect us? oh come on, price. there are a lot more important problems than sri lanka to worry about. sure our foreign policy is important, but there are more pressing problems at hand. like what? well, we have to end apartheid for one. and slow down the nuclear arms race, stop terrorism and world hunger. but we can't ignore our social needs, either. we have to stop people from abusing the welfare system. we have to provide food and shelter for the homeless and oppose racial discrimination and promote civil rights while also promoting equal rights for women but change the abortion laws to protect the right to life yet still, somehow maintain women's freedom of choice. the table stares at bateman uncomfortably."
AMERICAN_PSYCHO,INT. ESPACE RESTAURANT - NIGHT,CARRUTHERS,"patrick, how thought provoking."
AMERICAN_PSYCHO,INT. EVELYN'S BEDROOM - LATER THE SAME EVENING,EVELYN,"why dont you just go for price? oh god patrick. why price? price? he's rich. everybody's rich. he's goodlooking. everybody's good looking, patrick. he has a great body. everybody has a great body now. bateman unbuttons his shirt and makes advances to get evelyn to have sex with him. she ignores him, watching the home shopping channel with the remote in her hand. finally, he straddles her, penis close to her face. she tries to look around him at the tv, then takes notice."
AMERICAN_PSYCHO,INT. EVELYN'S BEDROOM - LATER THE SAME EVENING,EVELYN,are you using minoxidil? no. i'm not. why should i? your hairline looks like it's receding. its not.
AMERICAN_PSYCHO,INT. DRY CLEANERS - DAY,BATEMAN,"listen, wait. youre not...shhh wait... you're not giving me valid reasons. the woman continues to speak to him in another language, grabbing at the sleeve of the jacket."
AMERICAN_PSYCHO,INT. DRY CLEANERS - DAY,BATEMAN,"bleachee? are you trying to say bleachee? bleachee. oh my god. she keeps pointing to the jacket and talking. two things. one. you can't bleach a soprani. out of the question. two two, i can only get these sheets in santa fe. these are very expensive sheets and i really need them clean. she keeps talking and bateman leans into her. if you don't shut your fucking mouth i will kill you, are you understanding me? she talks faster. now listen i have a very important lunch meeting. at hubert's in thirty minutes, and i need those ... no wait, twenty minutes. i have a lunch meeting at hubert's in twenty minutes with ronald harrison and i need those sheets cleaned by this afternoon. she keeps talking. listen. i cannot understand you. bateman starts laughing, slaps his hand down on the counter. this is crazy. you're a fool. i can't cope with this."
AMERICAN_PSYCHO,INT. DRY CLEANERS - DAY,BATEMAN,"stupid bitchee! understand? oh christ! someone enters the store behind him. it's victoria, late twenties, attractive but a little overweight, wearing a tailored business suit with white sneakers and sports socks. patrick?"
AMERICAN_PSYCHO,INT. DRY CLEANERS - DAY,VICTORIA,"hi, patrick. i thought that was you. hello"
AMERICAN_PSYCHO,INT. DRY CLEANERS - DAY,BATEMAN,"isn't it ridiculous? coming all the way up here, but you know, they really are the best. then why can't they get these stains out? i mean can you talk to these people or something? i'm not getting anywhere. victoria moves toward the sheet that the old man is holding up. she touches it and the woman behind that counter begins talking again. oh my, i see. what are those? oh my. um, well... it's cranberry juice. crahapple."
AMERICAN_PSYCHO,INT. DRY CLEANERS - DAY,BATEMAN,"really? well, i mean, um, it's really ... bosco. you know, like...like a dove bar. it's a dove bar... hershey's syrup? oh yeah. oh i get it. fun with chocolate. listen, if you could talk to them i would really appreciate it. i'm really late. i have a lunch appointment at hubert's in fifteen minutes. bateman turns to leave. hubert's? oh really? it moved uptown, right? yeah, well, oh boy, listen, i've got to go. thank you, uh...victoria? maybe we could have lunch one day next week? you know, i'm downtown near wall street quite often. oh, i don't know, victoria. i'm at work all the time. well what about, oh, you know, maybe a saturday? next saturday?"
AMERICAN_PSYCHO,INT. DRY CLEANERS - DAY,BATEMAN,"oh, can't, i'm afraid. matinee of les miserables. listen, i've really got to go. i'll... oh christ... i'll call you. okay. do."
AMERICAN_PSYCHO,INT. BATEMAN'S APARTMENT - DAY,COURTNEY,"listen, what are you doing tonight? what? oh, i'm... busy. listen, you're dating luis, he's in arizona. you're fucking me, and we havent made plans. what could you possibly be up to tonight? stop it. i'm... ona lot of lithium? waiting for luis to call me. he said he'd call tonight. oh don't be difficult, patrick. you should come have dinner with me."
